Metric,P10,P25,P50 (Median),P75,P90,Mean,Std
ROE (%),9.23,15.94,18.04,19.85,31.3,19.52,12.72
Debt to Equity (D/E),0.02,0.03,0.06,0.2,1.18,0.42,0.84
